waste_type;title;description
xlight;Lampu Hias dari Lampu Lama;Buat lampu hias baru dengan menggabungkan bagian-bagian dari bola lampu lama.
bandaid;Tempat Pembalut Dekoratif;Gunakan pembalut bekas untuk membuat tempat pembalut yang unik atau jadikan bagian dari seni patchwork untuk dekorasi rumah.
battery;Patung Miniatur;Gunakan baterai bekas untuk membuat patung kecil atau karya seni abstrak.
bowlsanddishes;Seni Mozaik;Gunakan piring atau mangkuk yang pecah untuk membuat mozaik dekoratif.
bowlsanddishes;Hiasan Taman;Gunakan piring atau mangkuk yang pecah untuk membuat hiasan taman dekoratif.
bread;Pengemas Ramah Lingkungan;Ubah roti basi menjadi bahan pengemas ramah lingkungan.
bread;Tempat Makan Burung;Ubah roti basi menjadi tempat makan burung buatan sendiri.
bulb;Pot Tanaman dari Lampu;Ubah bola lampu bekas menjadi pot tanaman kecil, vas, atau hiasan pohon Natal dengan tambahan dekorasi warna-warni.
cans;Tempat Pensil;Buat tempat pensil dekoratif, lentera, atau tempat makan burung dari kaleng bekas.
carton;Kursi dari Karton;Ubah karton bekas menjadi kursi karton yang fungsional.
carton;Kotak Penyimpanan;Ubah karton bekas menjadi kotak penyimpanan praktis.
chopsticks;Bingkai Foto;Buat bingkai foto dari stik sumpit bekas.
chopsticks;Perhiasan;Buat perhiasan dari stik sumpit bekas.
chopsticks;Seni Dinding;Buat seni dinding yang indah dengan menempelkan stik sumpit bekas.
cigarettebutt;Tempat Abun;Gabungkan puntung rokok untuk membuat tempat abun.
cigarettebutt;Proyek Seni;Gunakan puntung rokok dalam proyek seni media campuran.
diapers;Bunga Kain;Ubah bahan penyerap dari popok bekas untuk membuat bunga kain.
diapers;Kain Pembersih;Gunakan bahan penyerap dari popok bekas untuk membuat kain pembersih yang dapat digunakan kembali.
facialmask;Quilt;Gunakan kain masker wajah untuk membuat quilt.
facialmask;Hiasan Dinding;Gunakan kain masker wajah untuk membuat hiasan dinding unik.
glassbottle;Vas Bunga;Ubah botol kaca menjadi vas bunga.
glassbottle;Seni Kaca Patri;Pecahkan botol kaca untuk membuat seni kaca patri berwarna-warni.
leaflet;Scrapbooking;Daur ulang selebaran untuk bahan scrapbooking.
leaflet;Origami;Lipat selebaran menjadi bentuk origami yang rumit.
